State,Surface,Unbiased,-2.0V vs. RHE,-1.5V vs. RHE,-1.0V vs. RHE,-0.5V vs. RHE,0.0V vs. RHE,0.5V vs. RHE,1.0V vs. RHE
ref,Pt110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4PP*,Pt110,-5.704356156020367,-5.704356156020367,-5.704356156020367,-5.704356156020367,-5.704356156020367,-5.704356156020367,-5.704356156020367,-5.704356156020367
(4PP+H)*,Pt110,-5.7592378269037,-7.7592378269037,-7.2592378269037,-6.7592378269037,-6.2592378269037,-5.7592378269037,-5.2592378269037,-4.7592378269037
(4PP+2H)*,Pt110,-5.512646225753997,-9.512646225753997,-8.512646225753997,-7.512646225753997,-6.512646225753997,-5.512646225753997,-4.512646225753997,-3.512646225753997
(4PP+3H)*,Pt110,-5.454417812419706,-11.454417812419706,-9.954417812419706,-8.454417812419706,-6.954417812419706,-5.454417812419706,-3.954417812419706,-2.454417812419706
(4PP+4H)*,Pt110,-6.125745318568079,-14.125745318568079,-12.125745318568079,-10.125745318568079,-8.125745318568079,-6.125745318568079,-4.125745318568079,-2.125745318568079
(4PP+5H)*,Pt110,-6.162426182476338,-16.162426182476338,-13.662426182476338,-11.162426182476338,-8.662426182476338,-6.162426182476338,-3.662426182476338,-1.162426182476338
4PCOL*,Pt110,-6.607965479401173,-18.607965479401173,-15.607965479401173,-12.607965479401173,-9.607965479401173,-6.607965479401173,-3.607965479401173,-0.6079654794011731
des,Pt110,-0.40559168734034756,-12.405591687340348,-9.405591687340348,-6.405591687340348,-3.4055916873403476,-0.40559168734034756,2.5944083126596524,5.594408312659652
